date;MAIN: Hydrogen (ppm);MAIN: Methane (ppm);MAIN: Acetylene (ppm);MAIN: Ethylene (ppm);MAIN: Ethane (ppm);MAIN: Carbon Monoxide (ppm);MAIN: Carbon Dioxide (ppm)
2011-07-21 22:00:00;3,1;5,8;0,3;8,4;6,6;72,7;482
2011-07-22 22:00:00;1,2;12,2;0,3;1,2;3,1;6,9;241
2011-07-23 22:00:00;1,3;1,9;0,4;1,4;2,1;7,2;236
2011-07-24 22:00:00;1,2;2,2;0,2;1,3;3,1;7,3;225
2011-07-25 22:00:00;1,3;9,8;0,3;1;2;7,1;203
2011-07-26 22:00:00;1,5;2;0,3;1,3;2,1;8,4;227
2011-07-27 22:00:00;1,5;2;0,6;1,2;1,3;8,6;229
2011-07-28 22:00:00;1,6;3,6;0,4;1,1;1,3;8,8;230
2011-07-29 22:00:00;1,5;21,4;0,4;1,1;2,1;9,2;228
2011-07-30 22:00:00;1,6;1,9;0,4;1,2;1,9;9,7;237
2011-07-31 22:00:00;1,8;1,7;0,4;1,1;2,1;10,4;238
2011-08-01 10:00:00;2;3,7;0,4;1,1;0,7;10,9;242
2011-08-02 10:00:00;2,1;5,8;0,6;1,3;1,7;11,4;246
2011-08-03 10:00:00;2,2;15,9;0,4;1,2;2,1;12,2;267
2011-08-04 10:00:00;2,4;9,6;0,5;1,3;3,6;12,6;266
2011-08-05 10:00:00;2,2;20,5;0,4;1,2;2,2;13,1;257
2011-08-06 10:00:00;2,6;3,6;0,3;0,7;2,8;13,9;266
2011-08-07 10:00:00;2,5;2,4;0,4;1;1,5;14,7;262
2011-08-08 10:00:00;2,6;2,7;0,3;1;1,5;15;266
2011-08-09 10:00:00;2,6;1,9;0,3;1,3;3,5;15,3;266
2011-08-10 10:00:00;3,8;2,2;0,5;1;2,8;16,9;285
2011-08-11 10:00:00;4,6;2,8;0,4;1,3;2,8;18,5;301
2011-08-12 10:00:00;5,8;3,6;0,4;1,5;2,7;20,8;319
2011-08-13 22:00:00;6,8;1,9;0,3;1,6;2,4;22,6;330
2011-08-14 22:00:00;7,4;3,8;0,5;1,3;1,4;24,2;339
2011-08-15 22:00:00;8,3;2,1;0,3;1,3;1,8;26;354
2011-08-16 22:00:00;10,3;1,8;0,4;1,8;2,5;27,8;367
