date;MAIN: Hydrogen (ppm);MAIN: Methane (ppm);MAIN: Acetylene (ppm);MAIN: Ethylene (ppm);MAIN: Ethane (ppm);MAIN: Carbon Monoxide (ppm);MAIN: Carbon Dioxide (ppm)
2014-09-01 04:00:00;90,1;53,3;0,9;14,4;114,2;181;2694
2014-09-02 04:00:00;92,4;58,3;0,9;14,1;117,8;190,6;2673
2014-09-03 04:00:00;92,7;58,7;0,9;13,2;122,9;188,6;2488
2014-09-04 05:00:00;92,5;58,4;0,9;13,3;122,6;193;2438
2014-09-05 05:00:00;91,7;60,9;0,6;13,9;123;198,1;2503
2014-09-06 05:00:00;92,3;61,5;0,9;14;120,8;202,5;2627
2014-09-07 05:00:00;93,4;62,3;1;14,7;125,3;208,2;2677
2014-09-09 14:29:00;0;2;0,2;0,6;3;10,8;157
2014-09-10 15:00:00;0,1;1,2;0,4;0,4;2;20,2;136
2014-09-11 16:00:00;0,3;0,9;0,2;0,3;3,1;28,9;142
2014-09-12 16:00:00;0,6;0,5;0,1;0,1;4,1;42,3;157
2014-09-13 19:00:00;0,1;1;0,4;0,2;1,8;12,9;152
2014-09-14 19:00:00;0,1;1;0,3;0,2;2,4;12,9;154
2014-09-15 19:00:00;0,1;1,6;0,4;0,3;1,9;13,2;152
2014-09-16 19:00:00;0,1;1;0,2;0,2;1,8;13,3;154
2014-09-19 12:00:00;0;1,4;0,2;0,6;1,6;14,2;142
2014-09-20 19:00:00;0,1;0,8;0,1;0,3;1,9;14,8;147
2014-09-21 19:00:00;0,1;1,3;0,4;0,4;1,7;15,3;147
2014-09-22 19:00:00;0;0,8;0,5;0,7;1,9;15,3;142
2014-09-23 19:00:00;0,1;1;0,3;0,2;1;15,5;140
2014-09-25 14:00:00;0,1;0,8;0,6;0,7;1,8;15,7;145
2014-09-26 19:00:00;0,1;1,3;0,3;0,6;2,9;15,9;136
2014-09-27 19:00:00;0,2;1,3;0,5;0,4;2,3;15,8;140
2014-09-28 19:00:00;0,2;0,8;0,3;0,2;2;15,7;134
2014-09-29 19:00:00;0,2;0,7;0,5;0,4;1,5;16,7;142
2014-09-30 19:00:00;0;0,7;0,4;0,1;2,5;17,3;137
2014-10-01 20:00:00;88,9;53,2;0,5;14,2;116,8;180,3;2685
2014-10-02 20:00:00;92;57;0,8;13,8;119,6;189,3;2674
2014-10-03 20:00:00;91,5;58,1;0,8;12,8;118;186,6;2439
2014-10-04 21:00:00;91,6;59;0,8;12,7;118,1;193;2430
2014-10-05 21:00:00;91,9;61;0,8;14;120,9;198,4;2510
2014-10-06 21:00:00;92,8;61,5;0,8;14,5;130,3;204,1;2635
2014-10-07 21:00:00;92,6;62,4;1,2;15,5;135,4;206,6;2676
2014-10-09 00:00:00;0;1,4;0,2;0,1;3,3;10,9;161
2014-10-10 00:00:00;0,1;1;0,3;0,4;2,3;20,4;137
2014-10-11 01:00:00;0,3;0,9;0,2;0,4;2,7;29,1;147
2014-10-12 01:00:00;0,5;1,8;0;0,6;1,6;42,1;156
2014-10-13 01:00:00;0,2;1,1;0,3;0,3;2;20,8;145
2014-10-14 01:00:00;0,2;0,9;0,1;0,4;2;20,9;141
2014-10-15 01:00:00;0,2;1,1;0,2;0,6;2,2;21,2;141
2014-10-16 01:00:00;0,3;1,6;0,2;0,5;2,1;21,3;142
2014-10-17 01:00:00;0,3;1,1;0,5;0,3;1,8;21,3;140
2014-10-18 01:00:00;0,3;0,9;0,4;0,3;2,2;21,3;133
2014-10-19 01:00:00;0,3;2,1;0,5;0,3;3,7;21,3;132
2014-10-20 01:00:00;0,2;1,1;0,4;0,5;2,1;21,4;133
