date;MAIN: Hydrogen (ppm);MAIN: Methane (ppm);MAIN: Acetylene (ppm);MAIN: Ethylene (ppm);MAIN: Ethane (ppm);MAIN: Carbon Monoxide (ppm);MAIN: Carbon Dioxide (ppm)
2010-12-08 04:00:00;14,8;24,6;0,1;3,4;32,3;168,6;883
2010-12-09 04:00:00;14,6;21,7;0,4;3,5;35,5;176,8;910
2010-12-10 04:00:00;14,8;20,2;0;4,4;31,8;181,7;900
2010-12-11 09:00:00;15,1;19,7;0,2;4,7;30,6;185,7;872
2010-12-12 09:00:00;16,7;23,4;0,1;3,3;23,8;189,7;822
2010-12-13 09:00:00;16,2;20,2;0,3;3,5;28,2;184,5;819
2010-12-14 09:00:00;18,1;22;0,2;2,8;24;185,9;820
2010-12-15 09:00:00;17,8;23,5;0,3;3,9;23,6;185,6;822
2010-12-16 09:00:00;17,1;19,3;0;3,9;31,4;187,8;815
2010-12-17 09:00:00;19,8;20,4;0,2;3,9;27;188,4;812
2010-12-18 09:00:00;17,8;21,7;0;3,2;28,3;190,4;817
2010-12-19 09:00:00;17,9;20,7;0,1;2,8;26,9;189,8;813
2010-12-20 09:00:00;17,5;20,7;0,2;3,2;23,8;185;808
2010-12-21 09:00:00;17,1;20,2;0;2,8;29,3;185,3;803
2010-12-22 09:00:00;17,7;21,4;0;3;26,9;184,7;803
2010-12-23 09:00:00;17,7;21,5;0,1;4,1;24,4;185,1;803
2010-12-24 09:00:00;19,2;21,4;0,1;3,3;26,7;187,7;800
2010-12-25 09:00:00;17,2;20,8;0;2,7;25;184,7;800
2010-12-26 09:00:00;18,6;16,8;0,1;3,7;30,9;189,1;797
2010-12-27 09:00:00;16,7;20,4;0,4;3,4;29,2;185;800
2010-12-28 09:00:00;15,8;22,6;0,3;3,2;24,1;185,7;802
2010-12-29 09:00:00;15,9;21,3;0,4;3,5;29,2;189,4;806
2010-12-30 09:00:00;15,4;19,8;0,3;3,7;31,9;186,6;819
2010-12-31 09:00:00;15,9;22,1;0;3,4;27,2;188,5;843
2011-01-01 09:00:00;17,3;19,5;0,4;4,1;31,2;188,7;838
2011-01-02 09:00:00;17,6;23,1;0;3,7;30,7;199,7;890
2011-01-03 09:00:00;19,5;30,3;0,1;3,5;42,6;208,7;929
2011-01-04 10:00:00;17,8;28,2;0;5,5;61,3;210,3;947
2011-01-05 10:00:00;19,1;28,7;0;6,1;60,5;218,3;1031
2011-01-06 10:00:00;19,1;32,4;0,5;5,5;63;219,5;1029
2011-01-08 04:00:00;17,4;38,6;0,4;7,1;82,9;232,7;1156
2011-01-09 04:00:00;18,6;41,9;0,1;6,4;95,8;232,1;1125
2011-01-10 04:00:00;17,4;44;0,3;6;93,5;229,6;1118
2011-01-11 09:00:00;0;0,8;2,5;1,4;3,6;0,7;512
2011-01-13 03:00:00;15,8;20,8;0,6;4,9;35,1;194,9;879
2011-01-14 03:00:00;16;22,9;0,5;4,2;30,3;197,4;885
2011-01-15 03:00:00;16;19;0;4,4;32,9;197,5;891
2011-01-16 03:00:00;15,8;21,2;0;3;32,1;197,6;894
2011-01-17 03:00:00;16;20,6;0,3;4,6;30,2;199,6;900
2011-01-18 03:00:00;19,3;22,2;0;3,6;29,3;202,9;911
2011-01-19 03:00:00;19,6;23,8;0;3;25,8;202,5;915
2011-01-20 03:00:00;18,3;21,6;0;4,1;29,1;198,9;910
2011-01-21 03:00:00;17,2;21,2;0,1;3,8;29,6;198;910
2011-01-22 03:00:00;17,6;22,3;0,2;3,7;25,9;198,4;908
2011-01-23 03:00:00;18;21,9;0,4;3,7;27,8;202,9;928
2011-01-24 03:00:00;18,5;20,7;0;4,5;30,5;201;916
2011-01-25 03:00:00;17,4;23,8;0,1;4,3;28,7;201,3;919
2011-01-26 03:00:00;17,5;22,3;0;4;29,8;202,6;925
2011-01-27 03:00:00;19,1;22,6;0,3;3,7;26,6;208,1;925
2011-01-28 03:00:00;19,4;22,2;0,1;4;28;203,6;910
2011-01-29 03:00:00;19,9;22,5;0,1;3,7;28,7;208,3;911
2011-01-30 03:00:00;19,3;22,1;0,2;3,6;27,9;203,1;895
2011-01-31 03:00:00;18,7;20,5;0,1;3,4;29,8;200;886
2011-02-01 03:00:00;16;20,5;0,1;4,3;29,8;190,4;841
2011-02-02 03:00:00;17,4;21,1;0,1;3,5;30,8;201,8;906
2011-02-03 03:00:00;19,7;30,2;0,3;4,8;46,2;211,8;932
2011-02-04 04:00:00;17,3;29,2;0,2;4,6;54,7;209,6;946
2011-02-05 04:00:00;20,1;32,7;0,6;5,2;55,2;220,5;1024
2011-02-06 04:00:00;19,6;37,4;0,1;3,7;54,7;220,4;1029
2011-02-08 04:00:00;17;41,5;0,5;5,4;80,3;231,9;1157
2011-02-09 04:00:00;18;42,3;0,3;6,1;89,5;230,1;1125
2011-02-10 04:00:00;17,5;45,2;0,5;6;86,2;229,9;1118
2011-02-11 09:00:00;0;3,1;1,9;1,9;8,2;0,5;515
2011-02-13 03:00:00;17,1;23;0,2;4,7;38,4;205,3;949
2011-02-14 03:00:00;18,3;27,7;0,1;4,2;36,3;209,7;909
2011-02-15 03:00:00;18,2;27,4;0,5;4,6;37,8;208,1;909
2011-02-16 03:00:00;18,1;26,5;0,2;4,6;39,6;207,9;911
2011-02-17 03:00:00;17,8;27,1;0,2;5;38,4;205,3;909
2011-02-18 03:00:00;18,2;27,4;0,2;4,9;40,6;206;911
2011-02-19 03:00:00;17,6;26;0,3;4,6;42,3;206,3;909
2011-02-20 03:00:00;17,6;27,3;0,7;4,1;40,9;206,3;912
2011-02-21 03:00:00;18,6;27;0,4;4,5;39,5;207,8;915
2011-02-22 03:00:00;18,3;27,6;0,4;4,2;44,1;208,6;926
2011-02-23 03:00:00;17,7;29,5;0,3;4,3;40,8;206,3;931
2011-02-24 03:00:00;17,5;24;0;5,7;49,2;206,1;927
2011-02-25 03:00:00;17,8;27,1;0,4;4,4;48,7;209,7;936
2011-02-26 03:00:00;18;31;0;5,2;39,5;208,4;928
2011-02-27 03:00:00;19;27,1;0;4,9;46,9;208,9;928
2011-02-28 03:00:00;18,8;28,2;0,3;5;46,9;206,5;924
2011-03-01 03:00:00;16,2;21,3;0;3,9;27,9;187,5;833
2011-03-02 03:00:00;17,3;22,1;0,3;3,6;30,1;201,5;910
2011-03-03 03:00:00;20,1;29;0,2;4,4;47,8;210,2;930
2011-03-04 04:00:00;17,5;31,9;0,4;4,8;50,5;207,6;922
2011-03-05 04:00:00;21,2;31,9;0,1;4,6;55,7;225,5;1034
2011-03-06 04:00:00;19;34,4;0,1;5,1;59,9;220,9;1033
2011-03-08 04:00:00;17,5;38,2;0,4;6,9;86,3;230,8;1156
2011-03-09 04:00:00;17,8;42,3;0;6,4;97,1;230,7;1136
2011-03-10 04:00:00;16,7;44,4;0,7;5,6;97,4;221,3;1071
2011-03-11 09:00:00;0;1,3;2;2,5;3,5;0;523
2011-03-13 03:00:00;19,2;28,7;0,3;4,3;52,3;213;951
2011-03-14 03:00:00;19;29,5;0;4,9;49,8;207,1;930
2011-03-15 03:00:00;18,3;29,8;0,2;4,8;47,9;208,6;941
2011-03-16 03:00:00;18,9;31,7;0,4;4,6;50;213,2;956
2011-03-17 03:00:00;19;28,8;0,3;5,3;53;212,6;956
2011-03-18 03:00:00;18,4;30;0,1;4,8;51,4;211,5;946
2011-03-19 03:00:00;18,4;30,4;0;3,5;51,5;206,8;928
2011-03-20 03:00:00;19;29,7;0,5;4,9;52,3;207,6;919
2011-03-21 03:00:00;18,1;28,1;0,3;4,8;55;207,8;925
2011-03-22 03:00:00;19,6;31,4;0,6;4;48;213,1;947
2011-03-23 03:00:00;18,2;31,7;0,3;5,7;53,1;208,6;941
2011-03-24 03:00:00;18,5;33;0;4,9;49,6;209,1;938
2011-03-25 03:00:00;18,2;30,9;0,3;5,4;57;209,4;971
2011-03-26 03:00:00;19,4;31,6;0,2;5,6;53,3;209;968
2011-03-27 04:00:00;18;29,2;0;5,9;53,7;210,3;979
2011-03-28 04:00:00;18,9;31,5;0;5,1;53,8;211,4;975
2011-03-29 04:00:00;19,3;32,3;0,2;4,5;50;216,9;975
2011-03-30 04:00:00;18,5;31,4;0,4;5;53,8;214,5;973
2011-03-31 04:00:00;18,4;33,7;0,7;5,7;49,9;215,3;968
2011-04-01 09:00:00;16,5;21,3;0,2;3,9;27,3;187,4;822
2011-04-02 09:00:00;17,3;24,8;0,1;4,5;28,4;203,9;925
2011-04-03 09:00:00;19,4;28;0,1;4,6;49,3;205,3;922
2011-04-04 10:00:00;18,8;34;0;4,1;52;213,9;942
2011-04-05 10:00:00;20,4;34,3;0,3;4,4;52,5;222,5;1028
2011-04-06 10:00:00;18,8;33,1;0,1;5,9;62,9;225,5;1042
2011-04-08 04:00:00;17,2;41,8;0,1;6;84,2;233,1;1172
2011-04-09 04:00:00;18;42,3;0,2;5,8;91,1;232,3;1142
2011-04-10 04:00:00;0;2,9;0,9;3,1;9,6;1,2;530
2011-04-11 09:00:00;0;0,8;2,2;2,7;1,6;0,9;509
2011-04-13 04:00:00;20,4;31,9;0;5;51,8;222,6;1034
2011-04-14 04:00:00;20,2;29,5;0,1;4,7;49;223;1032
2011-04-15 04:00:00;19,1;33,3;0;5,1;45;218,4;1026
2011-04-16 04:00:00;19,7;31;0,1;5,3;50,4;219,1;1030
2011-04-17 04:00:00;20,8;28,9;0,2;6,1;56,3;224,7;1042
2011-04-18 04:00:00;20,4;32,5;0,3;5,4;52,6;225,1;1016
2011-04-19 04:00:00;20,9;28,6;0,3;4,9;58,5;219,8;1010
2011-04-20 04:00:00;19,5;33,7;0,8;4,8;47,7;217,9;1027
2011-04-21 04:00:00;18,7;34,7;0,3;5,4;44,8;219,7;1042
2011-04-22 04:00:00;19,3;29,8;0,2;4,6;55,9;220,3;1016
2011-04-23 04:00:00;18,9;32,5;0,3;4,7;49,9;221,5;1038
2011-04-24 04:00:00;19,5;30,3;0,2;4,9;54;219,5;1033
2011-04-25 04:00:00;19,3;31,1;0;4,2;55,3;217,6;1029
2011-04-26 04:00:00;19,6;28,4;0;4,8;62,3;217,8;1029
2011-04-27 04:00:00;19,5;29,3;0,4;4,6;59,9;221;1039
2011-04-28 04:00:00;20,8;31,1;0,3;4;53;220,8;1024
2011-04-29 04:00:00;20,8;32,7;0;5,4;55,7;226,6;1040
2011-04-30 04:00:00;19,2;28,1;0,4;6,1;59;218,6;1027
2011-05-01 09:00:00;17;21,5;0,3;4,4;31,7;195,1;832
2011-05-02 09:00:00;17,1;23,1;0,7;3,5;33;203,8;928
2011-05-03 09:00:00;19,9;28,8;0,2;4,5;47,6;209,8;930
2011-05-04 10:00:00;17,6;34,6;0,6;4,6;51,4;209;964
2011-05-05 10:00:00;20;31,3;0;6,5;54,3;223;1035
2011-05-06 10:00:00;18,9;32,5;0,5;4,6;68;221,9;1036
2011-05-08 04:00:00;17,4;40,4;0;7,1;89,2;232;1167
2011-05-09 04:00:00;18,3;42,5;0,3;6,3;90,7;230,4;1138
2011-05-10 04:00:00;0;1,1;0,9;2,4;5,1;0;510
2011-05-11 09:00:00;0;0,9;1,5;1,9;5,6;0,6;529
2011-05-13 04:00:00;20;32,2;0;5,4;64,7;224,8;1065
2011-05-14 04:00:00;22,8;33,3;0,2;5,8;61,8;230,3;1073
2011-05-15 04:00:00;20,2;33,8;0;4,7;56,9;220;1057
2011-05-16 04:00:00;19,8;33,9;0,3;5;61,3;222,6;1058
2011-05-17 04:00:00;19,6;35;0,2;5,1;57,4;220,9;1051
2011-05-18 04:00:00;18,9;30,8;0,3;6,1;63;220,8;1057
2011-05-19 04:00:00;20,6;34,6;0,6;5,7;55,3;225,3;1052
2011-05-20 04:00:00;20,2;37,7;0;5;54,3;222,8;1034
2011-05-21 04:00:00;19,9;33,8;0,4;5,1;58,8;222,7;1030
2011-05-22 04:00:00;19,4;33,3;0,1;5,6;61,9;220,8;1024
2011-05-23 04:00:00;19,6;33;0,6;4,9;63,7;224,3;1027
2011-05-24 04:00:00;20,5;33,6;0,4;4,9;56,3;224,1;1022
2011-05-25 04:00:00;19,3;33;0;5,4;60,1;219,2;1016
2011-05-26 04:00:00;19,6;30,7;0,6;5,2;63,7;222;1032
2011-05-27 04:00:00;19,9;30,1;0,1;5,7;64;219,5;1022
2011-05-28 04:00:00;19,3;31,4;0,2;4,7;60,2;219;1026
2011-05-29 10:00:00;19;29,6;0,4;4,7;65,8;220,1;1026
2011-05-30 10:00:00;20,3;31,6;0,2;4,5;64,3;227,1;1038
2011-05-31 10:00:00;19,5;30,8;0;4,6;66,4;219,6;1022
2011-06-01 15:00:00;17,9;22,1;0,2;3,6;27,3;191,4;829
2011-06-02 15:00:00;17,3;22,2;0;4,1;35,2;202,6;930
2011-06-03 15:00:00;19,5;29,6;0,1;5;45,9;209;933
2011-06-04 16:00:00;17,5;30;0;5,7;61,7;211;994
2011-06-05 16:00:00;19,2;32,7;0,4;4,3;53,1;219,6;1029
2011-06-06 16:00:00;19,2;32,3;0,6;5,1;60,5;221,1;1036
2011-06-08 04:00:00;17,7;39,9;0,1;6,5;86,1;231,4;1158
2011-06-09 04:00:00;17,9;42,7;0,5;6;89,7;231;1136
2011-06-10 04:00:00;0;2,1;0,9;1,1;1;0;508
2011-06-11 09:00:00;0;1,9;1,5;1,7;4,6;0,3;519
2011-06-13 04:00:00;18,9;35,3;0,2;5,9;61,7;224;1043
2011-06-14 04:00:00;20,2;35,6;0;4,2;56,1;222,6;1039
2011-06-15 04:00:00;18,9;36,9;0,1;4,5;55,1;222,3;1040
2011-06-16 04:00:00;18,9;33,2;0,1;4,9;65,4;222,6;1049
2011-06-17 04:00:00;19,5;31,1;0,3;5,1;65,6;222,9;1045
