date;MAIN: Hydrogen (ppm);MAIN: Methane (ppm);MAIN: Acetylene (ppm);MAIN: Ethylene (ppm);MAIN: Ethane (ppm);MAIN: Carbon Monoxide (ppm);MAIN: Carbon Dioxide (ppm)
2010-12-08 03:00:00;9,1;72,1;0;7,4;404,3;102,2;1350
2010-12-09 03:00:00;9,4;72,4;0,4;7,5;382,4;102,3;1364
2010-12-10 03:00:00;10,1;75,6;0,1;7,5;409,9;104;1420
2010-12-11 08:00:00;10,9;77,2;0,1;7,5;386,1;106,9;1452
2010-12-12 08:00:00;10,8;73,3;0;7,7;410;100,2;1363
2010-12-13 08:00:00;11,3;76,5;0,1;7,3;424,8;103,4;1376
2010-12-14 08:00:00;11;74,1;0;7,5;404,5;101;1361
2010-12-15 08:00:00;10,9;75,8;0,1;6,7;392,8;100,3;1367
2010-12-16 08:00:00;11,1;77,3;0,3;7,4;416,7;104,3;1393
2010-12-17 08:00:00;11,5;76,1;0;7,4;400,9;103,9;1384
2010-12-18 08:00:00;11,4;77,3;0,3;7,8;432,5;103,4;1388
2010-12-19 08:00:00;11,3;74,4;0,1;7,8;422,6;100,7;1365
2010-12-20 08:00:00;11,6;76,7;0,4;7,1;400,3;104,1;1385
2010-12-21 08:00:00;11,6;77,4;0,1;7,1;414,6;103,3;1381
2010-12-22 08:00:00;11,7;76,9;0;7,2;387,1;103,8;1382
2010-12-23 08:00:00;11,6;75,7;0,1;7,8;426;102,7;1377
2010-12-24 08:00:00;11,8;76,3;0,1;8,1;419;103,2;1383
2010-12-25 08:00:00;11,5;77;0,3;6,8;394,4;103,3;1388
2010-12-26 08:00:00;11,6;77,5;0;8,1;426,5;103,3;1378
2010-12-27 08:00:00;11,5;76,5;0,2;7,3;426,2;104,3;1391
2010-12-28 08:00:00;11,3;76,6;0;7,4;401,5;103,5;1386
2010-12-29 08:00:00;11,3;77,8;0,1;7,6;418,8;104,5;1398
2010-12-30 08:00:00;11,3;78,2;0,3;7,8;423,4;104,6;1393
2010-12-31 08:00:00;10,8;75,8;0;6,8;394,3;101,1;1372
2011-01-01 08:00:00;11,2;76;0;8,1;421,8;104,2;1387
2011-01-02 13:00:00;11;75,3;0,4;7,2;418,8;101,7;1320
2011-01-03 18:00:00;9,8;64,7;0;6,3;385,7;87,4;1089
2011-01-04 19:00:00;9,9;62,8;0;6,8;355;95,4;1217
2011-01-05 19:00:00;11,2;63,5;0,2;8,3;375,1;99,4;1216
2011-01-06 19:00:00;11,4;63,3;0;7;375,7;99,5;1272
2011-01-07 19:00:00;11,7;59,4;0,3;7,9;377,2;100,9;1292
2011-01-08 19:00:00;13,5;69,3;0;8,5;396;110,5;1439
2011-01-09 19:00:00;14,7;75,4;0,3;8,3;405,6;113;1505
2011-01-10 19:00:00;14,8;76,2;0,1;9,3;423,7;112,3;1457
2011-01-11 22:00:00;16,8;80,8;0;8,7;400,5;122,4;1622
2011-01-12 22:00:00;17,8;83,7;0,3;9,9;446,2;124,7;1660
2011-01-14 02:00:00;11,1;76,2;0;8,5;431,9;102,9;1383
2011-01-15 02:00:00;11,3;76,4;0;7,2;424,5;103,7;1372
2011-01-16 02:00:00;10,9;75,8;0,3;7,3;407,2;101,6;1361
2011-01-17 02:00:00;11,3;76,5;0;7,5;423,4;104,1;1383
2011-01-18 02:00:00;11,4;73,9;0,3;7,7;421,3;104,1;1376
2011-01-19 02:00:00;11,5;78,3;0;7,9;437,6;104;1386
2011-01-20 02:00:00;11,4;75,6;0,1;6,6;393;102,6;1366
2011-01-21 02:00:00;11,3;74,7;0,1;7,4;375,7;101,6;1352
2011-01-22 02:00:00;11,5;76,6;0;7,2;396,2;103,3;1369
2011-01-23 02:00:00;11,1;73,5;0,3;8,2;415,1;100,4;1359
2011-01-24 02:00:00;11,5;74,7;0,2;7,6;403,1;103,8;1376
2011-01-25 07:00:00;10,8;76,1;0,3;6,8;393,8;102,6;1352
2011-01-26 07:00:00;10,6;77,5;0;6,5;422;101,1;1323
2011-01-27 07:00:00;10,8;74,6;0,2;7,2;402,1;100,6;1303
2011-01-28 07:00:00;11,1;75,1;0;7,4;428,7;101;1315
2011-01-29 07:00:00;11;74,4;0,4;7,6;429,1;100,7;1313
2011-01-30 07:00:00;11;74,9;0,1;7,7;421,2;101,5;1320
2011-01-31 07:00:00;11,2;76;0,2;6,9;410,6;102,8;1338
2011-02-01 08:00:00;11,5;74,9;0,3;8,5;440,4;103,4;1374
2011-02-02 13:00:00;11,1;77,8;0,2;7,7;426,9;103,9;1335
2011-02-03 18:00:00;9,7;64,2;0,1;6,8;396,8;87;1083
2011-02-04 19:00:00;10,5;65,9;0,1;7,3;380,4;99,3;1244
2011-02-05 19:00:00;11,1;64,7;0,2;7;388,9;99;1218
2011-02-06 19:00:00;11,6;64,5;0,1;8,3;386,3;102;1280
2011-02-07 19:00:00;12,1;64;0;7,3;373,2;103,5;1314
2011-02-08 19:00:00;13,5;71,8;0,4;7,8;380,2;109,8;1438
2011-02-09 19:00:00;14,7;70,4;0,3;9;410,4;113,7;1517
2011-02-10 19:00:00;14,7;77;0,2;7,7;405,2;111,4;1443
2011-02-11 22:00:00;16,3;79,4;0;9,4;437,6;120;1620
