date;MAIN: Hydrogen (ppm);MAIN: Methane (ppm);MAIN: Acetylene (ppm);MAIN: Ethylene (ppm);MAIN: Ethane (ppm);MAIN: Carbon Monoxide (ppm);MAIN: Carbon Dioxide (ppm)
2013-12-11 01:00:00;0,5;1,2;0,4;0,2;0,3;5,8;217
2013-12-12 08:00:00;2;1,1;0,5;0,4;1,5;11,8;260
2013-12-13 08:00:00;2;0,8;0,5;0,8;2;12,1;262
2013-12-14 08:00:00;2;1,5;0,3;0,2;0,6;12;257
2013-12-15 08:00:00;2;1,8;0,4;0,5;0,4;12,3;256
2013-12-16 08:00:00;2,1;1,2;0,5;0,8;1,8;12,4;255
2013-12-17 08:00:00;2,1;0,8;0,5;0,8;2;12,7;264
2013-12-18 08:00:00;2,2;1,3;0,3;0,9;1,1;12,9;261
2013-12-19 08:00:00;2,2;1;0,5;0,4;2;13,1;258
2013-12-20 08:00:00;2,3;1,7;0,3;0,5;0,3;13,5;260
2013-12-21 08:00:00;2,3;0,8;0,6;0,6;2;13,4;258
2013-12-22 08:00:00;2,3;0,7;0,5;0,5;2,1;13,5;257
2013-12-23 08:00:00;2,4;0,8;0,7;0,6;1,8;13,8;262
2013-12-24 08:00:00;2,3;1,5;0,4;0,4;0,2;13,5;257
2013-12-25 08:00:00;2,5;1,5;0,5;0,8;0,3;14,2;259
2013-12-26 08:00:00;2,5;0,7;0,4;0,5;1,7;14,2;264
2013-12-27 08:00:00;2,6;0,7;0,6;0,9;2,7;14,6;261
2013-12-28 08:00:00;2,5;1,9;0,4;0,5;0;14,5;261
2013-12-29 08:00:00;2,6;1,5;0,3;0,5;1,1;14,7;262
2013-12-30 08:00:00;2,7;1,3;0,7;0,7;1,5;14,9;264
2013-12-31 08:00:00;2,7;0,7;0,5;0,8;3,1;14,9;264
2014-01-01 08:00:00;2,8;0,8;0,5;0,4;2,2;15,6;263
2014-01-02 08:00:00;3,8;1,2;0,4;0,4;2,9;20,2;279
2014-01-03 08:00:00;5,8;1,5;0,7;1,3;2,2;27,9;338
2014-01-04 09:00:00;7,7;2,2;0,7;1,2;2,3;37,2;391
2014-01-05 09:00:00;11,2;3,2;1,1;1,7;3,6;51;490
2014-01-06 09:00:00;15,6;4,2;0,9;1,8;3,6;68,5;608
2014-01-07 09:00:00;17,8;4,2;1,4;1,6;3,8;80,9;655
2014-01-08 14:00:00;30,8;3,9;1,3;1,7;5;90,4;720
2014-01-10 05:00:00;7,5;5,9;1,3;1,1;3,9;123,1;812
2014-01-11 12:00:00;6,2;5,6;1,4;1,1;4,3;122,2;817
2014-01-12 12:00:00;6,3;6,3;1,4;1;4,3;131,1;818
2014-01-13 16:00:00;3,2;0,8;0,7;0,8;2,4;17,5;272
2014-01-14 16:00:00;3,2;1,2;0,5;0,6;1,8;17,5;272
2014-01-15 16:00:00;3,3;2,5;0,6;0,1;0,4;17,7;273
2014-01-16 16:00:00;3,4;1,5;0,3;0,6;1,7;17,9;274
2014-01-17 16:00:00;3,3;1,5;0,5;0,5;1,8;18;271
2014-01-18 16:00:00;3,4;1,1;0,4;0,4;2,4;18,3;275
2014-01-19 16:00:00;3,5;1,8;0,5;0,6;0,7;18,6;277
2014-01-20 16:00:00;3,5;1,3;0,5;0,8;0,9;18,6;279
2014-01-21 16:00:00;3,6;1,9;0,5;0,7;1,5;18,7;280
2014-01-22 16:00:00;3,5;1,2;0,8;0,8;1,7;18,9;280
2014-01-23 16:00:00;3,5;2,4;0,6;0,6;0,4;18,8;279
2014-01-24 16:00:00;3,7;1,6;0,4;0,8;1,1;19,5;279
2014-01-25 16:00:00;3,5;2;0,5;0,8;0,7;19,1;283
2014-01-26 16:00:00;3,7;1,4;0,1;0,5;2,3;19,6;276
2014-01-27 16:00:00;3,8;2,3;0,5;0,4;0,6;19,7;278
2014-01-28 16:00:00;3,8;1,5;0,6;0,8;1,7;20,1;277
2014-01-29 16:00:00;3,8;1,3;0,5;0,6;2;19,9;279
2014-01-30 16:00:00;3,8;1,5;0,5;0,5;1,4;20,2;281
2014-01-31 16:00:00;3,9;1,4;0,5;0,6;1,5;20,4;280
2014-02-01 16:00:00;2,8;1,1;0,3;0,8;1,6;15,6;266
2014-02-02 16:00:00;3,9;1,3;0,6;0,5;2,2;20,4;280
2014-02-03 16:00:00;5,9;2,5;0,7;1,2;1,5;29;345
2014-02-04 17:00:00;8,1;2,8;0,7;1,1;2;38,6;395
2014-02-05 17:00:00;11,5;2,7;0,7;1,6;3;51,3;491
2014-02-06 17:00:00;15,8;3,6;1,4;2;5;69,7;613
2014-02-07 17:00:00;17,7;4,4;1,5;2;3,2;81,2;657
2014-02-08 22:00:00;17,3;4,1;1,4;1,6;4;90,4;707
2014-02-10 05:00:00;6,9;6;1,5;1,1;3,1;118,7;803
2014-02-11 12:00:00;6,2;6;1,3;1,1;4,2;125;817
2014-02-12 12:00:00;5,6;5,4;1,1;1;3,2;127,2;797
2014-02-13 16:00:00;4,6;2,2;0,5;0,6;2;23,3;303
2014-02-14 16:00:00;4,6;2,2;0,4;0,7;1,6;23,6;304
2014-02-15 16:00:00;4,6;1,4;0,8;0,7;2,3;23,9;310
2014-02-16 16:00:00;4,8;1,7;0,3;1,1;1,1;24,5;307
2014-02-17 16:00:00;4,8;1,7;0,5;0,9;2,6;24,6;317
2014-02-18 16:00:00;4,9;1,6;0,7;1,1;2,3;24,8;317
2014-02-19 16:00:00;5,1;2;0,7;0,9;2,1;25,7;321
2014-02-20 16:00:00;5;1,8;0,9;0,8;1,9;25,4;321
2014-02-21 16:00:00;5,2;1,7;0,6;0,9;1,7;26;321
2014-02-22 16:00:00;5,3;1,8;0,6;1,2;1,7;26;323
2014-02-23 16:00:00;5,2;2,2;0,8;1,2;1,9;26,4;329
2014-02-24 16:00:00;5,3;1,2;0,7;1,3;2,4;26,7;329
2014-02-25 16:00:00;5,5;1,2;0,6;1,2;3,5;27,2;335
2014-02-26 16:00:00;5,6;2,7;0,7;0,8;1,4;27,8;337
2014-02-27 16:00:00;5,6;1,8;0,6;0,8;2,6;27,7;336
2014-02-28 16:00:00;5,8;2;0,7;1,1;1,3;28,3;339
2014-03-01 16:00:00;2,8;1,8;0,4;0,7;1;15,6;266
2014-03-02 16:00:00;3,9;1,6;0,5;0,7;1,2;20,9;280
2014-03-03 16:00:00;6;0,9;0,8;1,2;4,1;29,1;341
2014-03-04 17:00:00;7,9;3,4;0,8;1,2;1,7;38;401
2014-03-05 17:00:00;11,8;2,2;0,8;1,3;4,5;51,7;497
2014-03-06 17:00:00;15,9;3;1,2;1,8;5,6;70,1;619
2014-03-07 17:00:00;17,7;4,2;1,3;1,7;4,2;82;656
2014-03-08 22:00:00;17,2;5,1;1,3;1,4;3,6;90,5;706
2014-03-10 05:00:00;7,6;5,6;1,7;1,3;4,7;127,4;823
2014-03-11 12:00:00;6,3;5,7;1,5;1,2;4,9;126,7;817
2014-03-12 12:00:00;5,7;4,9;1,4;1,3;3,7;125,2;787
2014-03-13 16:00:00;6,6;2,4;0,7;0,6;1,6;31,1;348
2014-03-14 16:00:00;6,4;1,6;0,6;0,8;3,8;31,3;349
2014-03-15 16:00:00;6,3;2;0,7;1,2;2,6;31,4;348
2014-03-16 16:00:00;6,3;1,9;0,7;1;1,6;31,5;349
2014-03-17 16:00:00;6,5;1,9;0,7;0,9;2,5;32,1;351
2014-03-18 16:00:00;6,5;1,7;0,7;1;4,4;32,3;354
2014-03-19 16:00:00;6,7;2,6;0,7;0,7;2;33,2;365
2014-03-20 16:00:00;6,7;2,6;0,6;1,3;2,2;32,9;361
2014-03-21 16:00:00;6,8;2,1;0,8;1,2;2,3;33,1;363
2014-03-22 16:00:00;7;1,6;0,7;1,3;3,9;34;364
2014-03-23 16:00:00;7,2;1,8;0,7;1;3;34,7;370
2014-03-24 16:00:00;7,1;1,4;0,7;0,7;2,7;34,2;369
2014-03-25 16:00:00;7,4;1,4;0,9;1,5;4;35,4;376
2014-03-26 16:00:00;7,3;2,3;0,8;0,9;1,7;35;378
2014-03-27 16:00:00;7,5;2,2;0,4;1,1;2,4;35,4;380
2014-03-28 16:00:00;7,4;2,8;0,7;0,9;1,8;36;379
2014-03-29 16:00:00;7,5;1,7;0,7;1,1;2,8;36,2;384
2014-03-30 17:00:00;7,6;2,8;0,9;1;2,3;36,8;387
2014-03-31 17:00:00;7,8;2,9;0,8;0,9;1,8;37,5;393
2014-04-02 00:00:00;3,9;1,5;0,4;0,6;1,8;20,6;283
2014-04-03 00:00:00;6;2,2;0,6;1;1,3;29,2;349
2014-04-04 01:00:00;8;2,3;1;1,3;2,6;38,3;400
2014-04-05 01:00:00;11,6;2,2;1,1;1,8;4,7;52;505
2014-04-06 01:00:00;16;2,9;1,2;1,9;5,5;70,1;615
2014-04-07 01:00:00;17,6;4,2;1,1;1,8;4,7;81,7;657
2014-04-08 06:00:00;17,6;5,2;1,2;1,6;2,1;92,9;711
2014-04-09 13:00:00;7,8;5,2;1,4;0,2;6,7;106,8;758
2014-04-10 13:00:00;7,4;5,3;1,3;1,3;5,1;125,6;815
2014-04-11 20:00:00;6,5;5,9;1,4;1,1;3,7;129,8;820
2014-04-12 20:00:00;6,2;5,4;1,2;1,4;4,9;136,4;808
