date;MAIN: Hydrogen (ppm);MAIN: Methane (ppm);MAIN: Acetylene (ppm);MAIN: Ethylene (ppm);MAIN: Ethane (ppm);MAIN: Carbon Monoxide (ppm);MAIN: Carbon Dioxide (ppm)
2012-04-17 13:00:00;0,3;1,2;0,2;0,2;1,3;6,8;227
2012-04-18 13:00:00;0,3;1,6;0,3;0;1,3;6,6;228
2012-04-19 13:00:00;0,4;0,9;0,3;0,6;1,3;7,3;235
2012-04-20 13:00:00;0,4;1;0,2;1;2,1;7,3;248
2012-04-21 13:00:00;0,5;1;0,1;0,5;1,2;7,7;261
2012-04-22 13:00:00;0,5;1;0,3;0,7;2,8;7,9;263
2012-04-23 13:00:00;0,6;1,6;0,2;0,2;1,4;8,4;265
2012-04-24 13:00:00;0,7;1;0,3;1;4,1;8,7;277
2012-04-25 13:00:00;0,8;1,7;0,2;0,5;0,2;9,6;280
2012-04-26 13:00:00;0,8;1,7;0,5;1,5;0,4;9,9;288
2012-04-27 13:00:00;0,9;0,8;0,3;0,6;2,3;10,3;288
2012-04-28 13:00:00;1;0,9;0;0,4;1,6;10,9;299
2012-04-29 13:00:00;1,1;1,7;0,2;0,7;0,3;11,4;301
2012-04-30 13:00:00;1,1;1,4;0,2;0,5;2,5;11,4;311
2012-05-03 01:00:00;20,6;11,8;0;4,7;14,2;237;1549
2012-05-05 01:00:00;1,4;1;0;0,8;1,3;13,3;321
2012-05-06 02:00:00;15,5;2;0,2;1,6;6,7;53,8;953
2012-05-07 02:00:00;27,3;4,2;0,9;3,2;7,5;96,4;1212
2012-05-08 02:00:00;33,5;6,1;0,6;2,5;4;127,5;1441
2012-05-09 02:00:00;41,3;4,8;0,1;4,1;10,5;173,1;1796
2012-05-10 02:00:00;37,7;7;0,2;3,3;6,6;187,3;1799
2012-05-11 05:00:00;37,6;7,6;0;1,8;3,5;190;1572
2012-05-12 05:00:00;45,4;7,8;0,1;3,2;8,6;226,6;2071
2012-05-13 05:00:00;2,2;1,9;0,5;1;1,9;16,4;367
2012-05-14 05:00:00;2,2;0,8;0,2;0,8;3,2;16,8;366
2012-05-15 05:00:00;2,4;1,5;0,2;0,6;1,2;16,9;369
2012-05-16 05:00:00;2,5;2;0,1;0,5;1,3;17,4;378
2012-05-17 05:00:00;2,7;2,4;0;0,1;0,1;18,3;403
2012-05-18 05:00:00;3,2;1;0,1;1,1;4,4;19,7;421
2012-05-19 05:00:00;3,8;1,2;0,2;1,1;3,4;21;450
2012-05-20 05:00:00;4,3;1;0,2;1,1;4,8;22,4;487
2012-05-21 05:00:00;5;1,7;0,3;0,8;2,9;24,2;520
2012-05-22 05:00:00;5,7;2,2;0,5;1,7;3,1;25,7;567
2012-05-23 05:00:00;6,4;1,4;0,4;1,7;4,9;27,5;590
2012-05-24 06:00:00;5,8;1,3;0,2;1,9;4,8;29,6;625
2012-05-25 06:00:00;7;3,4;0,7;1,8;4,2;31,6;676
2012-05-26 06:00:00;7,6;1,9;0,3;2;3,7;33,3;682
2012-05-27 06:00:00;8,7;1,4;0,3;1,8;5,4;36,7;723
2012-05-28 06:00:00;9,5;1,5;0,1;2,2;7,8;38,2;765
2012-05-29 06:00:00;10,1;2,5;0,5;2,5;6;39,5;780
2012-05-30 06:00:00;10,8;2,3;0,3;2,2;5,6;41,4;801
2012-05-31 06:00:00;11,7;3,5;0,8;2,4;3,4;43,7;826
2012-06-03 01:00:00;21,4;12,2;0;5,1;12,5;237,1;1544
2012-06-05 01:00:00;1,5;1,1;0;0,6;2,1;13,6;331
2012-06-06 02:00:00;16,5;3,5;0,2;1,9;5,5;56,5;971
2012-06-07 02:00:00;27,6;5,2;0,3;2,4;7,1;97,9;1225
2012-06-08 02:00:00;34,5;4,4;0,1;3,1;8,1;131,4;1461
2012-06-09 02:00:00;40,3;5,1;0;3,2;9,9;169,7;1775
2012-06-10 02:00:00;37,8;7,3;0,3;3;6,2;187,5;1768
2012-06-11 05:00:00;37,6;6,7;0,1;1,9;6;187,9;1564
2012-06-12 05:00:00;46,7;7,6;0,1;3;8;224,6;2035
2012-06-13 06:00:00;21,4;2,1;0,2;3,2;7,6;70,9;1090
2012-06-14 06:00:00;21,9;3,8;0,1;2,5;5,4;72,4;1098
2012-06-15 06:00:00;22,4;1,9;0,2;2,4;9,6;74,2;1110
2012-06-16 06:00:00;22,5;4;0,2;2,5;5,9;75,2;1115
2012-06-17 06:00:00;23,3;2,5;0,4;3,2;6,3;78,3;1133
2012-06-18 06:00:00;24,2;3;0;2,6;5,9;80,1;1159
2012-06-19 06:00:00;24,9;3,2;0,3;2,4;6,2;81,7;1166
2012-06-20 06:00:00;24,8;2,6;0;2,7;7,8;81,6;1179
2012-06-21 06:00:00;25,5;3,6;0;2,8;5,2;83,6;1177
2012-06-22 06:00:00;25,7;4,1;0,6;2,4;5,7;85,2;1185
2012-06-23 06:00:00;26;2,5;0,1;2,7;8,2;86,7;1186
2012-06-24 06:00:00;26,7;5;0,1;3;4,7;89,5;1203
2012-06-25 06:00:00;26,7;2,3;0,3;2,4;8,9;89,6;1216
2012-06-26 06:00:00;26,6;4;0,2;2;5,2;89,5;1208
2012-06-27 06:00:00;26,5;4,2;0,7;2,9;5,3;89,9;1172
2012-06-28 06:00:00;26,4;4,5;0,3;2,4;7,4;90,2;1163
2012-06-29 06:00:00;26,2;4,6;0,3;2,5;5,2;90,6;1142
2012-06-30 06:00:00;26,2;4,3;0,3;1,9;5,7;90,6;1126
2012-07-05 01:00:00;1,6;1,3;0,1;0,4;1;14,2;342
2012-07-06 02:00:00;17;2,7;0,4;3,3;6,9;58,7;994
2012-07-07 02:00:00;27,3;5,7;0,4;3,1;4;98;1202
2012-07-08 02:00:00;34,6;5,6;0,1;2,6;6,8;132,2;1452
2012-07-09 02:00:00;40,7;6,4;0,6;3,8;8,4;172,1;1771
2012-07-10 02:00:00;37,3;5,9;0,3;2,9;8;188,6;1753
2012-07-11 05:00:00;37;6,6;0,1;2,6;6,5;190;1566
2012-07-12 05:00:00;45,4;6,8;0,1;3,5;9,4;227,3;2017
2012-07-13 06:00:00;27;4,4;0,1;2,3;2,2;98,3;1122
2012-07-14 06:00:00;27,4;4,4;0,4;1,9;3,8;99;1104
2012-07-15 06:00:00;28,1;2,9;0;2,2;6,4;100,3;1111
2012-07-16 06:00:00;27,6;4,3;0,4;2,1;4,2;99,3;1101
2012-07-17 06:00:00;27,6;4,9;0,4;1,4;3,3;99,9;1095
2012-07-18 06:00:00;27,4;5,7;0,4;2,2;3,3;100,1;1074
2012-07-19 06:00:00;27,3;4,2;0,4;1,8;7,4;100,3;1094
2012-07-20 06:00:00;27,6;3,9;0,4;2,1;6,8;100,4;1096
2012-07-21 06:00:00;27,9;3,7;0,4;2,2;5,1;101,1;1106
2012-07-22 06:00:00;28,1;4,9;0,6;2,1;6,2;102;1139
2012-07-23 06:00:00;28,5;5,8;0,7;2,8;3,7;103,8;1190
2012-07-24 06:00:00;28,8;4,9;0,6;3;7,1;106,6;1235
2012-07-25 06:00:00;29,2;5,5;0,6;2,1;6,6;108,2;1255
2012-07-26 06:00:00;30;4,9;0,7;3,1;6;112,1;1310
2012-07-27 06:00:00;29,9;5,6;0,3;3,3;7,4;112,4;1326
2012-07-28 06:00:00;30,5;4,3;0,5;2,9;7,5;114,2;1316
2012-07-29 06:00:00;31,2;4,6;0,3;2,7;6,2;116,1;1335
2012-07-30 06:00:00;32;3,4;0,2;3,4;10,6;117,9;1345
2012-07-31 06:00:00;32,5;4,8;0,2;3,2;3,5;119,9;1378
