date;MAIN: Hydrogen (ppm);MAIN: Methane (ppm);MAIN: Acetylene (ppm);MAIN: Ethylene (ppm);MAIN: Ethane (ppm);MAIN: Carbon Monoxide (ppm);MAIN: Carbon Dioxide (ppm)
2010-07-05 23:00:00;70;42;0,3;55,9;41,7;350,6;1886
2010-07-06 23:00:00;72,8;42,9;0,3;55,3;42,3;342,9;1874
2010-07-07 23:00:00;74,6;43,1;0,4;55;42,7;344,5;1891
2010-07-08 23:00:00;73,3;44,5;0,2;54,3;42,9;345,6;1885
2010-07-09 22:00:00;75,5;42,8;0,3;55,8;43,4;345,8;1897
2010-07-10 23:00:00;75,7;43;0,3;55,9;47,4;345,5;1898
2010-07-11 23:00:00;75,9;42,2;0,6;55;43,6;353,6;1893
2010-07-12 23:00:00;75,2;41,4;0,4;55,1;42,5;354,7;1899
2010-07-13 23:00:00;75,4;41,6;0,4;54,9;41,7;345,6;1889
2010-07-14 23:00:00;75,9;42,6;0,4;54,3;43,2;346,4;1913
2010-07-15 23:00:00;75,2;42,9;0,4;54,6;43,6;356;1911
2010-07-16 23:00:00;74;42,6;0,4;55,4;44,5;348,9;1906
2010-07-17 23:00:00;74,6;41;0,6;54,4;41,2;343,6;1888
2010-07-18 23:00:00;75,2;42,7;0,4;54,5;40,9;354,8;1910
2010-07-19 23:00:00;77,5;41,3;0,5;51,4;38,1;350,9;1916
2010-07-20 23:00:00;77,4;44,8;0,4;51,3;37,9;351;1911
2010-07-21 21:00:00;75,4;50,1;0,3;51,9;38,3;362,7;1921
2010-07-22 23:00:00;69,8;39,7;0,4;51,9;34,3;359,4;1915
2010-07-23 23:00:00;75,2;40,3;0,3;50,9;36,4;348,1;1899
2010-07-24 23:00:00;75,8;40,4;0,3;50,4;35,9;349;1911
2010-07-25 15:00:00;76,1;43,2;0,5;50,7;36,6;348,8;1903
2010-07-26 23:00:00;74,1;39,7;0,4;50,7;45,4;352,8;1908
2010-07-27 23:00:00;75,4;41,4;0,4;50,9;37,8;352,5;1920
2010-07-28 23:00:00;81,3;40,6;0,3;51,2;36;354,5;1911
2010-07-29 23:00:00;75,2;40,3;0,5;51;37,2;347,7;1904
2010-07-30 23:00:00;74,4;44,3;0,3;49,6;34,8;355,1;1917
2010-07-31 05:00:00;74,5;39;0,4;49,7;34,8;346,9;1911
2010-08-01 23:00:00;75,1;40,7;0,3;50,3;37,7;356,4;1923
2010-08-02 23:00:00;75,4;39,6;0,5;50,1;37,4;355,5;1917
2010-08-03 23:00:00;75,1;40,1;0,3;50,3;36,7;354,7;1918
2010-08-04 23:00:00;75,9;42,1;0,4;50,3;35,7;351;1926
2010-08-05 23:00:00;76,3;40,6;0,4;50,3;38,8;346,6;1911
2010-08-06 23:00:00;78,4;39,9;0,4;50,5;36,1;352,6;1932
2010-08-07 23:00:00;77,5;39,6;0,3;49,7;37,3;352;1928
2010-08-08 23:00:00;76,7;44,4;0,5;50,1;37,3;348,4;1928
2010-08-09 23:00:00;78,3;40,7;0,2;52,7;42,2;347,3;1936
2010-08-10 23:00:00;76,4;40,8;0,5;52,7;42,5;347,2;1927
2010-08-11 22:00:00;76,2;40;0,4;52,9;43,4;344,9;1924
2010-08-12 21:00:00;68,2;40,1;0,4;52,6;41,5;346,3;1941
2010-08-13 21:00:00;64,7;39,9;0,3;53,1;39,8;347,1;1928
2010-08-14 21:00:00;66,2;40,5;0,4;52,1;42,2;346,9;1940
2010-08-15 21:00:00;65,8;43,5;0,3;52;43;348,6;1942
2010-08-16 21:00:00;65,5;43,3;0,3;52,2;41,3;347,1;1941
2010-08-17 21:00:00;66,1;43;0,5;52,5;41,6;349,1;1945
2010-08-18 21:00:00;65,3;39,2;0,3;52;40,1;348;1946
2010-08-19 21:00:00;65,3;39,5;0,5;53,1;40,3;346,1;1934
2010-08-20 21:00:00;67,3;40,2;0,4;52,5;42,1;346,8;1944
2010-08-21 21:00:00;65,5;39,6;0,4;52,3;41,7;348,5;1946
2010-08-22 21:00:00;64,5;41,2;0,3;52,7;38,8;348,3;1932
2010-08-23 21:00:00;65,8;40,7;0,3;51,1;40,6;348,9;1947
2010-08-24 21:00:00;64;39,3;0,5;50,6;37,4;345,5;1937
2010-08-25 21:00:00;64,6;39,5;0,3;50,4;39,8;347,6;1947
2010-08-26 21:00:00;64,9;38,5;0,4;51,3;39,9;353,9;1956
2010-08-27 21:00:00;64;39,1;0,4;52;40;345,9;1942
2010-08-28 21:00:00;63,7;39,1;0,3;51,3;41,1;345,2;1947
2010-08-29 21:00:00;63,4;39;0,3;50,8;38,7;345,6;1937
2010-08-30 21:00:00;63,4;38,5;0,4;51;44,2;344,5;1941
2010-08-31 21:00:00;63,6;38,9;0,3;51;37,7;342,7;1937
2010-09-01 21:00:00;64,5;40,4;0,5;50,5;39,4;344,6;1948
2010-09-02 21:00:00;64,7;40,7;0,5;51;40,1;346,8;1953
2010-09-03 21:00:00;64,6;39;0,4;50,7;37,4;346,2;1951
2010-09-04 21:00:00;64,4;37,7;0,4;50,5;39,5;346,5;1953
2010-09-05 21:00:00;66,8;40;0,4;51,3;39,6;346,2;1957
2010-09-06 21:00:00;64,6;37,3;0,3;50,7;41,1;347,9;1961
2010-09-07 21:00:00;65,1;38,6;0,4;51;41,4;349,1;1959
2010-09-08 21:00:00;65,3;37,7;0,5;50,9;40,2;347,4;1947
2010-09-09 21:00:00;64,4;39,2;0,6;49,6;39,7;349,8;1935
2010-09-10 21:00:00;65,8;39,7;0,3;50,2;40,5;349,5;1937
2010-09-11 21:00:00;65,6;37,9;0,5;50,9;40,3;350,9;1940
2010-09-12 21:00:00;63,4;39,5;0,5;50;38,7;346,7;1919
2010-09-13 21:00:00;65,5;37,3;0,5;49,6;41,3;348;1921
2010-09-14 21:00:00;65,2;39,4;0,4;49,4;38,3;348,1;1916
2010-09-15 21:00:00;24,7;38,7;0,4;46,5;34,1;327,3;1780
2010-09-16 21:00:00;25,7;38,5;0,6;47,4;32,1;327,7;1768
2010-09-17 21:00:00;26;39,1;0,5;46,7;33,6;325,1;1758
2010-09-18 21:00:00;27,2;38,7;0,5;46,6;34,2;332,7;1767
2010-09-19 21:00:00;28,5;38,5;0,6;46;33,9;327;1759
2010-09-20 21:00:00;28,3;38,4;0,4;45,8;33,5;327,5;1755
2010-09-21 21:00:00;29,7;39,4;0,4;46,2;31,8;327,2;1747
2010-09-22 21:00:00;29,1;40,6;0,3;46,4;33,4;327;1746
2010-09-23 21:00:00;29,5;38,5;0,5;46;34,8;327,9;1748
2010-09-24 21:00:00;29,2;38,4;0,5;45,4;34;326,4;1741
2010-09-25 21:00:00;28,1;38,7;0,5;45,5;33,9;323,9;1725
